time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-07-10T03:29:49.160Z,38.8081667,-122.7903333,3.85,3.83,mw,94,19,0.003888,0.05,nc,nc72483061,2016-03-11T23:11:19.268Z,"4km NW of The Geysers, California",earthquake,0.09,0.14,,10,reviewed,nc,nc
2015-06-16T21:22:45.580Z,38.3905,-119.3853333,4.06,3.17,ml,80,81,0.121,0.11,nc,nc72467186,2015-08-20T00:44:00.040Z,"20km NW of Bridgeport, California",earthquake,0.15,0.85,0.162,25,reviewed,nc,nc
2015-06-07T14:19:38.160Z,36.6661667,-121.2913333,5.8,3.15,ml,73,53,0.01448,0.07,nc,nc72462401,2016-03-11T23:08:49.994Z,"17km SSE of Ridgemark, California",earthquake,0.1,0.26,0.199,36,reviewed,nc,nc
2015-05-22T02:53:00.780Z,38.4316667,-122.2503333,12.83,4.09,mw,172,90,0.008049,0.19,nc,nc72453246,2016-02-26T16:22:33.988Z,"10km ENE of Yountville, California",earthquake,0.17,0.23,,5,reviewed,nc,nc
2015-05-19T18:36:01.620Z,36.6628333,-120.8701667,-0.12,3.82,mw,59,78,0.06211,0.14,nc,nc72451856,2016-01-27T22:33:27.960Z,"38km SSW of South Dos Palos, California",earthquake,0.18,0.34,,6,reviewed,nc,nc
2015-05-06T14:32:04.070Z,37.9661667,-122.0433333,12.12,3.51,mw,197,36,0.008952,0.19,nc,nc72444186,2016-01-27T22:32:39.124Z,"1km NNE of Pleasant Hill, California",earthquake,0.12,0.18,,4,reviewed,nc,nc
2015-05-06T14:01:47.420Z,37.958,-122.0505,13.91,3.03,ml,188,36,0.02205,0.22,nc,nc72444161,2016-01-22T04:40:04.470Z,"1km NE of Pleasant Hill, California",earthquake,0.14,0.23,0.223,66,reviewed,nc,nc
2015-05-03T22:13:19.500Z,37.9665,-122.0436667,13.14,3.64,mw,267,30,0.01364,0.21,nc,nc72439615,2016-01-27T22:31:36.930Z,"2km SW of Concord, California",earthquake,0.14,0.18,,3,reviewed,nc,nc
2015-04-25T16:05:17.880Z,38.7861667,-122.72,2.43,3.28,ml,102,32,0.006638,0.07,nc,nc72435065,2015-07-03T00:23:40.040Z,"3km S of Cobb, California",earthquake,0.1,0.16,0.201,55,reviewed,nc,nc
2015-04-02T07:06:03.870Z,37.792,-121.9868333,9.89,3.61,mw,232,45,0.005873,0.14,nc,nc72424876,2016-09-13T08:17:20.672Z,"1km NNW of San Ramon, California",earthquake,0.09,0.12,,6,reviewed,nc,nc
2015-03-27T13:30:14.330Z,36.2271667,-120.3528333,10.44,4.11,mw,86,50,0.02352,0.1,nc,nc72418390,2016-03-11T13:32:05.065Z,"9km N of Coalinga, California",earthquake,0.15,0.27,,10,reviewed,nc,nc
2015-03-27T07:32:32.210Z,36.2273333,-120.3546667,10.83,3.35,ml,81,55,0.02392,0.08,nc,nc72418215,2016-03-11T04:34:59.434Z,"9km N of Coalinga, California",earthquake,0.15,0.28,0.175,33,reviewed,nc,nc
2015-03-10T17:07:23.640Z,37.7466667,-122.1441667,4.77,3.04,mw,102,18,0.03788,0.11,nc,nc72408845,2015-07-21T10:33:22.199Z,"2km NNE of San Leandro, California",earthquake,0.09,0.19,,5,reviewed,nc,nc
2015-03-10T00:40:09.320Z,38.8161667,-122.81,3.9,3.43,mw,84,21,0.007218,0.05,nc,nc72408335,2015-05-28T00:48:40.040Z,"6km NW of The Geysers, California",earthquake,0.09,0.14,,3,reviewed,nc,nc
2015-01-20T13:21:36.970Z,36.4333333,-120.971,9.39,4.43,mw,98,58,0.03975,0.1,nc,nc72383481,2016-03-12T02:41:16.592Z,"27km ENE of Greenfield, California",earthquake,0.15,0.3,,6,reviewed,nc,nc
